"","seqnames","start","end","width","strand","peakNames"
"58","1",139889,140211,323,"*",c("SRR5874658__00071", "SRR5874657__00063")
"59","1",140337,140612,276,"*",c("SRR5874657__00064", "SRR5874658__00072")
"60","1",143414,143550,137,"*",c("SRR5874658__00073", "SRR5874657__00065")
"61","1",146235,146464,230,"*",c("SRR5874658__00074", "SRR5874657__00067")
"62","1",148955,149451,497,"*",c("SRR5874658__00075", "SRR5874657__00069")
"63","1",149850,150298,449,"*",c("SRR5874658__00076", "SRR5874657__00071", "SRR5874657__00072", "SRR5874658__00077")
"64","1",155469,155590,122,"*",c("SRR5874657__00073", "SRR5874658__00079")
"65","1",155916,156048,133,"*",c("SRR5874657__00074", "SRR5874658__00080")
"66","1",156183,157084,902,"*",c("SRR5874658__00081", "SRR5874657__00075")
"67","1",158869,159247,379,"*",c("SRR5874657__00076", "SRR5874658__00082")
"68","1",159367,159737,371,"*",c("SRR5874657__00077", "SRR5874658__00083")
"69","1",162731,163446,716,"*",c("SRR5874658__00084", "SRR5874657__00078", "SRR5874658__00085", "SRR5874658__00086")
"70","1",167063,167250,188,"*",c("SRR5874658__00087", "SRR5874657__00079")
"71","1",167924,168537,614,"*",c("SRR5874657__00080", "SRR5874658__00088")
"72","1",171410,171637,228,"*",c("SRR5874658__00089", "SRR5874657__00081")
"73","1",172847,173743,897,"*",c("SRR5874658__00090", "SRR5874657__00082", "SRR5874658__00091")
"74","1",176918,177263,346,"*",c("SRR5874658__00092", "SRR5874657__00083")
"75","1",182242,182786,545,"*",c("SRR5874658__00094", "SRR5874657__00084")
"76","1",183159,183704,546,"*",c("SRR5874658__00095", "SRR5874657__00085")
"77","1",184571,185156,586,"*",c("SRR5874657__00086", "SRR5874658__00096", "SRR5874658__00097")
"78","1",186956,187232,277,"*",c("SRR5874657__00087", "SRR5874658__00098", "SRR5874658__00099")
"79","1",190161,190579,419,"*",c("SRR5874657__00088", "SRR5874658__00100")
"80","1",194308,194490,183,"*",c("SRR5874657__00089", "SRR5874658__00101")
"81","1",194566,195145,580,"*",c("SRR5874657__00090", "SRR5874658__00102")
"82","1",195480,195773,294,"*",c("SRR5874657__00091", "SRR5874658__00103")
"83","1",198286,198932,647,"*",c("SRR5874658__00104", "SRR5874657__00092")
"84","1",199289,199818,530,"*",c("SRR5874658__00105", "SRR5874657__00093")
"85","1",201979,202088,110,"*",c("SRR5874657__00094", "SRR5874658__00106")
"86","1",206429,206580,152,"*",c("SRR5874657__00095", "SRR5874658__00107")
"87","1",206624,207282,659,"*",c("SRR5874657__00096", "SRR5874658__00108")
"88","1",207549,208071,523,"*",c("SRR5874657__00097", "SRR5874658__00110")
"89","1",210500,210800,301,"*",c("SRR5874657__00098", "SRR5874658__00111")
"90","1",218739,219011,273,"*",c("SRR5874658__00114", "SRR5874657__00099", "SRR5874658__00115")
"91","1",219417,220469,1053,"*",c("SRR5874657__00101", "SRR5874658__00116")
"92","1",225056,225211,156,"*",c("SRR5874658__00118", "SRR5874657__00102")
"93","1",225408,225748,341,"*",c("SRR5874657__00103", "SRR5874658__00119")
"94","1",225990,226227,238,"*",c("SRR5874657__00104", "SRR5874658__00120")
"95","1",227285,227864,580,"*",c("SRR5874657__00105", "SRR5874658__00121")
"96","1",228202,228480,279,"*",c("SRR5874657__00106", "SRR5874658__00123")
"97","1",228550,229098,549,"*",c("SRR5874657__00107", "SRR5874658__00124")
"98","1",232589,232697,109,"*",c("SRR5874657__00108", "SRR5874658__00125")
"99","1",237704,238171,468,"*",c("SRR5874658__00126", "SRR5874657__00109")
"100","1",239461,239975,515,"*",c("SRR5874657__00110", "SRR5874658__00127")
"101","1",245947,246238,292,"*",c("SRR5874657__00111", "SRR5874658__00128")
"102","1",248414,248648,235,"*",c("SRR5874658__00129", "SRR5874657__00112")
"103","1",248856,249159,304,"*",c("SRR5874657__00113", "SRR5874658__00130")
"104","1",254500,254783,284,"*",c("SRR5874657__00114", "SRR5874658__00131")
"105","1",255197,255360,164,"*",c("SRR5874657__00115", "SRR5874658__00132")
"106","1",262500,262962,463,"*",c("SRR5874657__00116", "SRR5874658__00133", "SRR5874658__00134")
"107","1",266201,266486,286,"*",c("SRR5874657__00117", "SRR5874658__00135")
"108","1",267925,268459,535,"*",c("SRR5874658__00136", "SRR5874657__00118")
"109","1",269334,270006,673,"*",c("SRR5874658__00137", "SRR5874657__00119", "SRR5874657__00120", "SRR5874657__00121")
"110","1",270794,270963,170,"*",c("SRR5874658__00138", "SRR5874657__00123")
"111","1",274645,275050,406,"*",c("SRR5874658__00139", "SRR5874657__00124")
"112","1",278415,278695,281,"*",c("SRR5874657__00125", "SRR5874658__00141")
"113","1",284239,284500,262,"*",c("SRR5874658__00143", "SRR5874657__00126")
"114","1",290881,290992,112,"*",c("SRR5874658__00145", "SRR5874657__00127")
"115","1",291073,291358,286,"*",c("SRR5874658__00146", "SRR5874657__00128")
"116","1",291550,291761,212,"*",c("SRR5874658__00147", "SRR5874657__00129")
"117","1",292889,293418,530,"*",c("SRR5874658__00148", "SRR5874657__00130")
"118","1",295007,295245,239,"*",c("SRR5874658__00149", "SRR5874657__00131")
"119","1",298078,298798,721,"*",c("SRR5874658__00150", "SRR5874657__00132", "SRR5874657__00133")
"120","1",300899,301157,259,"*",c("SRR5874657__00134", "SRR5874658__00151")
"121","1",302325,303240,916,"*",c("SRR5874657__00135", "SRR5874658__00153", "SRR5874658__00154")
"122","1",303260,303637,378,"*",c("SRR5874658__00155", "SRR5874657__00136", "SRR5874658__00156")
"123","1",306237,306428,192,"*",c("SRR5874657__00137", "SRR5874658__00158")
"124","1",308942,309851,910,"*",c("SRR5874658__00159", "SRR5874657__00138", "SRR5874658__00160")
"125","1",310047,310332,286,"*",c("SRR5874658__00161", "SRR5874657__00139")
"126","1",312569,312948,380,"*",c("SRR5874658__00162", "SRR5874657__00140", "SRR5874658__00163")
"127","1",315780,316228,449,"*",c("SRR5874657__00141", "SRR5874658__00164")
"128","1",319377,319530,154,"*",c("SRR5874658__00165", "SRR5874657__00142")
"129","1",322787,323108,322,"*",c("SRR5874657__00143", "SRR5874658__00167")
"130","1",324616,325508,893,"*",c("SRR5874657__00144", "SRR5874658__00168")
"131","1",337745,338360,616,"*",c("SRR5874658__00170", "SRR5874657__00145")
"132","1",342107,342538,432,"*",c("SRR5874658__00171", "SRR5874657__00146")
"133","1",344343,344692,350,"*",c("SRR5874658__00172", "SRR5874657__00147")
"134","1",344915,345245,331,"*",c("SRR5874657__00148", "SRR5874658__00173")
"135","1",352776,353147,372,"*",c("SRR5874658__00175", "SRR5874657__00149")
"136","1",354767,355067,301,"*",c("SRR5874657__00150", "SRR5874658__00176")
"137","1",356757,357019,263,"*",c("SRR5874657__00151", "SRR5874658__00177")
"138","1",357120,357293,174,"*",c("SRR5874657__00152", "SRR5874658__00178")
"139","1",358999,359074,76,"*",c("SRR5874657__00153", "SRR5874658__00180")
"140","1",363018,363296,279,"*",c("SRR5874658__00181", "SRR5874657__00154")
"141","1",363407,363603,197,"*",c("SRR5874658__00182", "SRR5874657__00155")
"142","1",364119,364613,495,"*",c("SRR5874657__00156", "SRR5874658__00183")
"143","1",364685,364894,210,"*",c("SRR5874658__00184", "SRR5874657__00157")
"144","1",367781,367905,125,"*",c("SRR5874657__00158", "SRR5874658__00185")
"145","1",367992,368580,589,"*",c("SRR5874658__00186", "SRR5874657__00159")
"146","1",369372,369516,145,"*",c("SRR5874657__00160", "SRR5874658__00188")
"147","1",369706,369859,154,"*",c("SRR5874657__00161", "SRR5874658__00189")
"148","1",373230,373712,483,"*",c("SRR5874658__00190", "SRR5874657__00164")
"149","1",386963,387260,298,"*",c("SRR5874657__00165", "SRR5874658__00191")
"150","1",389574,389899,326,"*",c("SRR5874657__00166", "SRR5874658__00192")
"151","1",392583,392801,219,"*",c("SRR5874658__00193", "SRR5874657__00167")
"152","1",392873,393161,289,"*",c("SRR5874657__00168", "SRR5874658__00194")
"153","1",393239,393316,78,"*",c("SRR5874658__00195", "SRR5874657__00169")
"154","1",395051,395890,840,"*",c("SRR5874657__00170", "SRR5874658__00196")
"155","1",400292,400458,167,"*",c("SRR5874658__00197", "SRR5874657__00171")
"156","1",401090,401327,238,"*",c("SRR5874657__00172", "SRR5874658__00198")
"157","1",401716,402380,665,"*",c("SRR5874657__00173", "SRR5874658__00199")
"158","1",404334,404646,313,"*",c("SRR5874657__00174", "SRR5874658__00200")
"159","1",408529,408908,380,"*",c("SRR5874658__00201", "SRR5874657__00175")
"160","1",410514,410870,357,"*",c("SRR5874658__00202", "SRR5874657__00176")
"161","1",411481,411986,506,"*",c("SRR5874657__00177", "SRR5874658__00203")
"162","1",414620,415255,636,"*",c("SRR5874658__00204", "SRR5874657__00178")
"163","1",418165,418828,664,"*",c("SRR5874658__00205", "SRR5874657__00179")
"164","1",420041,420393,353,"*",c("SRR5874657__00180", "SRR5874658__00206")
"165","1",420480,420686,207,"*",c("SRR5874658__00207", "SRR5874657__00181")
"166","1",424660,425013,354,"*",c("SRR5874657__00182", "SRR5874658__00209")
"167","1",426325,427022,698,"*",c("SRR5874657__00183", "SRR5874658__00210")
"168","1",430774,430862,89,"*",c("SRR5874657__00184", "SRR5874658__00211")
"169","1",431001,431369,369,"*",c("SRR5874658__00212", "SRR5874657__00185")
"170","1",434173,434421,249,"*",c("SRR5874657__00186", "SRR5874658__00213")
"171","1",434602,434809,208,"*",c("SRR5874657__00187", "SRR5874658__00214")
"172","1",436886,437146,261,"*",c("SRR5874658__00215", "SRR5874657__00188")
"173","1",439778,440036,259,"*",c("SRR5874657__00189", "SRR5874658__00217")
"174","1",446530,446713,184,"*",c("SRR5874657__00191", "SRR5874658__00218")
"175","1",447151,447247,97,"*",c("SRR5874658__00219", "SRR5874657__00192")
"176","1",450363,450576,214,"*",c("SRR5874657__00193", "SRR5874658__00222")
"177","1",452594,453385,792,"*",c("SRR5874657__00194", "SRR5874658__00223")
"178","1",455522,455751,230,"*",c("SRR5874658__00224", "SRR5874657__00195")
"179","1",458840,459182,343,"*",c("SRR5874658__00225", "SRR5874657__00196")
"180","1",461592,461928,337,"*",c("SRR5874657__00197", "SRR5874658__00227")
"181","1",463562,463867,306,"*",c("SRR5874657__00198", "SRR5874658__00228")
"182","1",465474,465678,205,"*",c("SRR5874658__00229", "SRR5874657__00199")
"183","1",467754,467957,204,"*",c("SRR5874658__00230", "SRR5874657__00200")
"184","1",468661,469069,409,"*",c("SRR5874657__00201", "SRR5874658__00231")
"185","1",469202,469878,677,"*",c("SRR5874657__00202", "SRR5874658__00232")
"186","1",471494,471733,240,"*",c("SRR5874658__00233", "SRR5874657__00203")
"187","1",471992,472298,307,"*",c("SRR5874658__00234", "SRR5874657__00204")
"188","1",474374,474460,87,"*",c("SRR5874657__00205", "SRR5874658__00235")
"189","1",476595,476724,130,"*",c("SRR5874657__00207", "SRR5874658__00236")
"190","1",478877,479036,160,"*",c("SRR5874658__00238", "SRR5874657__00208")
"191","1",479083,479198,116,"*",c("SRR5874657__00209", "SRR5874658__00239")
"192","1",480613,480897,285,"*",c("SRR5874658__00240", "SRR5874657__00210")
"193","1",482721,482909,189,"*",c("SRR5874657__00212", "SRR5874658__00241")
"194","1",482930,483166,237,"*",c("SRR5874657__00213", "SRR5874658__00242")
"195","1",483259,483563,305,"*",c("SRR5874657__00214", "SRR5874658__00243")
"196","1",483784,484062,279,"*",c("SRR5874658__00244", "SRR5874657__00215")
"197","1",485635,485845,211,"*",c("SRR5874657__00216", "SRR5874658__00245")
"198","1",486658,486754,97,"*",c("SRR5874658__00246", "SRR5874657__00217")
"199","1",488254,488590,337,"*",c("SRR5874658__00247", "SRR5874657__00219")
"200","1",488594,489099,506,"*",c("SRR5874657__00220", "SRR5874658__00248")
"201","1",490675,490866,192,"*",c("SRR5874658__00249", "SRR5874657__00221")
"202","1",493043,493601,559,"*",c("SRR5874658__00250", "SRR5874657__00222")
"203","1",498794,499166,373,"*",c("SRR5874657__00223", "SRR5874658__00252")
"204","1",501465,501733,269,"*",c("SRR5874658__00253", "SRR5874657__00224")
"205","1",504157,504364,208,"*",c("SRR5874658__00254", "SRR5874657__00225")
"206","1",505173,505391,219,"*",c("SRR5874657__00226", "SRR5874658__00255")
"207","1",505481,505605,125,"*",c("SRR5874658__00256", "SRR5874657__00227")
"208","1",505824,506039,216,"*",c("SRR5874657__00228", "SRR5874658__00257")
"209","1",506409,506526,118,"*",c("SRR5874657__00229", "SRR5874658__00258")
"210","1",511070,511388,319,"*",c("SRR5874657__00230", "SRR5874658__00260")
"211","1",515331,515775,445,"*",c("SRR5874658__00261", "SRR5874657__00231")
"212","1",516409,516618,210,"*",c("SRR5874658__00262", "SRR5874657__00232")
"213","1",516683,517059,377,"*",c("SRR5874657__00233", "SRR5874658__00263")
"214","1",518044,518313,270,"*",c("SRR5874657__00234", "SRR5874658__00264")
"215","1",521737,522223,487,"*",c("SRR5874657__00235", "SRR5874658__00266")
"216","1",537511,537981,471,"*",c("SRR5874658__00269", "SRR5874657__00236")
"217","1",552503,553027,525,"*",c("SRR5874657__00238", "SRR5874658__00270")
"218","1",555164,555345,182,"*",c("SRR5874658__00272", "SRR5874657__00239")
"219","1",556566,556807,242,"*",c("SRR5874657__00240", "SRR5874658__00273")
"220","1",556955,557300,346,"*",c("SRR5874658__00274", "SRR5874657__00241")
"221","1",558732,558872,141,"*",c("SRR5874658__00275", "SRR5874657__00242")
"222","1",559569,559956,388,"*",c("SRR5874657__00243", "SRR5874658__00276")
"223","1",560085,560241,157,"*",c("SRR5874657__00244", "SRR5874658__00277")
"224","1",562984,563070,87,"*",c("SRR5874657__00245", "SRR5874658__00279")
"225","1",564541,564773,233,"*",c("SRR5874657__00246", "SRR5874658__00280")
"226","1",565326,565709,384,"*",c("SRR5874657__00247", "SRR5874658__00281")
"227","1",565716,566111,396,"*",c("SRR5874657__00248", "SRR5874658__00282")
"228","1",566693,566972,280,"*",c("SRR5874657__00249", "SRR5874658__00284")
"229","1",567077,567385,309,"*",c("SRR5874658__00285", "SRR5874657__00250", "SRR5874658__00286")
"230","1",569175,569355,181,"*",c("SRR5874658__00288", "SRR5874657__00252")
"231","1",571331,571526,196,"*",c("SRR5874657__00253", "SRR5874658__00289")
"232","1",571879,572627,749,"*",c("SRR5874658__00290", "SRR5874657__00254", "SRR5874658__00291")
"233","1",575116,575241,126,"*",c("SRR5874658__00292", "SRR5874657__00255")
"234","1",575487,575846,360,"*",c("SRR5874657__00256", "SRR5874658__00293")
"235","1",575967,576321,355,"*",c("SRR5874658__00294", "SRR5874657__00257")
"236","1",580407,580723,317,"*",c("SRR5874657__00258", "SRR5874658__00295")
"237","1",581872,582157,286,"*",c("SRR5874658__00296", "SRR5874657__00259")
"238","1",583657,584323,667,"*",c("SRR5874658__00297", "SRR5874657__00260")
"239","1",588202,588351,150,"*",c("SRR5874658__00298", "SRR5874657__00261")
"240","1",590919,591465,547,"*",c("SRR5874657__00262", "SRR5874658__00299", "SRR5874657__00263")
"241","1",593438,593588,151,"*",c("SRR5874658__00300", "SRR5874657__00264")
"242","1",598666,598965,300,"*",c("SRR5874658__00301", "SRR5874657__00265")
"243","1",601983,602713,731,"*",c("SRR5874658__00303", "SRR5874657__00266")
"244","1",607650,607764,115,"*",c("SRR5874658__00306", "SRR5874657__00268")
"245","1",608490,608619,130,"*",c("SRR5874658__00307", "SRR5874657__00269")
"246","1",609363,609562,200,"*",c("SRR5874658__00308", "SRR5874657__00270")
"247","1",616185,616267,83,"*",c("SRR5874657__00271", "SRR5874658__00309")
"248","1",616639,617139,501,"*",c("SRR5874657__00272", "SRR5874658__00310")
"249","1",620542,620638,97,"*",c("SRR5874657__00274", "SRR5874658__00311")
"250","1",620857,621551,695,"*",c("SRR5874657__00275", "SRR5874658__00312")
"251","1",622974,623157,184,"*",c("SRR5874658__00313", "SRR5874657__00276")
"252","1",625588,625978,391,"*",c("SRR5874657__00277", "SRR5874658__00314")
"253","1",626631,626806,176,"*",c("SRR5874657__00278", "SRR5874658__00315")
"254","1",630044,630547,504,"*",c("SRR5874658__00316", "SRR5874657__00279", "SRR5874658__00317")
"255","1",634612,635328,717,"*",c("SRR5874657__00281", "SRR5874658__00318", "SRR5874657__00282")
"256","1",638635,638782,148,"*",c("SRR5874658__00319", "SRR5874657__00283")
"257","1",641428,641545,118,"*",c("SRR5874657__00284", "SRR5874658__00320")
"258","1",642833,642950,118,"*",c("SRR5874658__00322", "SRR5874657__00285")
"259","1",644492,644988,497,"*",c("SRR5874658__00323", "SRR5874657__00286")
"260","1",652238,653083,846,"*",c("SRR5874658__00324", "SRR5874657__00287")
"261","1",653210,653823,614,"*",c("SRR5874658__00325", "SRR5874657__00288")
"262","1",655369,655499,131,"*",c("SRR5874657__00290", "SRR5874658__00326")
"263","1",658217,658404,188,"*",c("SRR5874658__00327", "SRR5874657__00292")
"264","1",659874,660175,302,"*",c("SRR5874658__00328", "SRR5874657__00293")
"265","1",662250,662723,474,"*",c("SRR5874658__00329", "SRR5874657__00294")
"266","1",669746,669980,235,"*",c("SRR5874657__00295", "SRR5874658__00330")
"267","1",671254,671430,177,"*",c("SRR5874657__00296", "SRR5874658__00331")
"268","1",672676,672936,261,"*",c("SRR5874658__00332", "SRR5874657__00297")
"269","1",673091,673380,290,"*",c("SRR5874657__00298", "SRR5874658__00333")
"270","1",687417,687525,109,"*",c("SRR5874658__00335", "SRR5874657__00299")
"271","1",692547,692690,144,"*",c("SRR5874657__00300", "SRR5874658__00336")
"272","1",701095,701553,459,"*",c("SRR5874658__00340", "SRR5874657__00301")
"273","1",706362,707504,1143,"*",c("SRR5874658__00341", "SRR5874657__00302")
"274","1",710435,710572,138,"*",c("SRR5874658__00342", "SRR5874657__00303")
"275","1",727419,727802,384,"*",c("SRR5874658__00344", "SRR5874657__00304")
"276","1",728201,728409,209,"*",c("SRR5874658__00345", "SRR5874657__00305")
"277","1",728715,728970,256,"*",c("SRR5874657__00306", "SRR5874658__00347")
"278","1",729539,729918,380,"*",c("SRR5874658__00348", "SRR5874657__00307", "SRR5874658__00349")
"279","1",737989,738690,702,"*",c("SRR5874657__00308", "SRR5874658__00351")
"280","1",738851,739026,176,"*",c("SRR5874658__00352", "SRR5874657__00309")
"281","1",739138,739886,749,"*",c("SRR5874658__00353", "SRR5874657__00310")
"282","1",747256,747353,98,"*",c("SRR5874658__00354", "SRR5874657__00312")
"283","1",748121,748290,170,"*",c("SRR5874658__00355", "SRR5874657__00313")
"284","1",748927,749296,370,"*",c("SRR5874657__00314", "SRR5874658__00356")
"285","1",754114,754750,637,"*",c("SRR5874657__00315", "SRR5874658__00357")
"286","1",756192,756493,302,"*",c("SRR5874658__00358", "SRR5874657__00316")
"287","1",760530,760854,325,"*",c("SRR5874658__00359", "SRR5874657__00317")
"288","1",761152,761435,284,"*",c("SRR5874657__00318", "SRR5874658__00361")
"289","1",766740,767315,576,"*",c("SRR5874658__00362", "SRR5874657__00319")
"290","1",767421,767606,186,"*",c("SRR5874658__00363", "SRR5874657__00320")
"291","1",767876,768274,399,"*",c("SRR5874658__00364", "SRR5874657__00321")
"292","1",769508,769655,148,"*",c("SRR5874657__00322", "SRR5874658__00365")
"293","1",771422,771501,80,"*",c("SRR5874657__00323", "SRR5874658__00366")
"294","1",773055,773467,413,"*",c("SRR5874657__00324", "SRR5874658__00367")
"295","1",780114,780497,384,"*",c("SRR5874657__00325", "SRR5874658__00369")
"296","1",785464,786107,644,"*",c("SRR5874658__00370", "SRR5874657__00326")
"297","1",786555,787150,596,"*",c("SRR5874657__00327", "SRR5874658__00372", "SRR5874658__00373")
"298","1",788176,788383,208,"*",c("SRR5874657__00328", "SRR5874658__00375")
"299","1",791072,791377,306,"*",c("SRR5874658__00377", "SRR5874657__00330")
"300","1",793046,793455,410,"*",c("SRR5874657__00331", "SRR5874658__00378", "SRR5874658__00379")
"301","1",795311,795533,223,"*",c("SRR5874657__00332", "SRR5874658__00380")
"302","1",798390,798550,161,"*",c("SRR5874657__00333", "SRR5874658__00381")
"303","1",798852,799195,344,"*",c("SRR5874658__00382", "SRR5874657__00334")
"304","1",807088,807421,334,"*",c("SRR5874658__00384", "SRR5874657__00335")
"305","1",813136,813481,346,"*",c("SRR5874658__00385", "SRR5874657__00336")
"306","1",819351,819624,274,"*",c("SRR5874658__00387", "SRR5874657__00337")
"307","1",824314,824599,286,"*",c("SRR5874657__00338", "SRR5874658__00388")
"308","1",826459,826591,133,"*",c("SRR5874658__00390", "SRR5874657__00339")
"309","1",830271,830708,438,"*",c("SRR5874658__00391", "SRR5874657__00340", "SRR5874658__00392")
"310","1",844154,844428,275,"*",c("SRR5874658__00394", "SRR5874657__00341")
"311","1",845904,846253,350,"*",c("SRR5874657__00342", "SRR5874658__00395", "SRR5874658__00396")
"312","1",847537,847907,371,"*",c("SRR5874657__00343", "SRR5874658__00397")
"313","1",849648,849898,251,"*",c("SRR5874657__00344", "SRR5874658__00398")
"314","1",850177,850318,142,"*",c("SRR5874657__00345", "SRR5874658__00399")
"315","1",851675,851936,262,"*",c("SRR5874658__00400", "SRR5874657__00347")
"316","1",852102,852321,220,"*",c("SRR5874658__00401", "SRR5874657__00348")
"317","1",853328,853433,106,"*",c("SRR5874658__00402", "SRR5874657__00349")
"318","1",853705,854122,418,"*",c("SRR5874657__00350", "SRR5874658__00403", "SRR5874658__00404")
"319","1",859747,859959,213,"*",c("SRR5874657__00351", "SRR5874658__00405")
"320","1",864174,864458,285,"*",c("SRR5874658__00406", "SRR5874657__00352")
"321","1",865153,865458,306,"*",c("SRR5874658__00408", "SRR5874657__00353")
"322","1",867734,867954,221,"*",c("SRR5874658__00409", "SRR5874657__00354")
"323","1",868089,868365,277,"*",c("SRR5874658__00410", "SRR5874657__00355")
"324","1",868667,868994,328,"*",c("SRR5874658__00411", "SRR5874657__00356")
"325","1",871142,871579,438,"*",c("SRR5874657__00357", "SRR5874658__00412")
"326","1",875842,876087,246,"*",c("SRR5874658__00413", "SRR5874657__00358")
"327","1",877435,878219,785,"*",c("SRR5874658__00414", "SRR5874657__00359")
"328","1",880174,880472,299,"*",c("SRR5874658__00415", "SRR5874657__00360")
"329","1",883455,883613,159,"*",c("SRR5874657__00361", "SRR5874658__00416")
"330","1",889974,890309,336,"*",c("SRR5874658__00417", "SRR5874657__00362")
"331","1",892370,893059,690,"*",c("SRR5874657__00363", "SRR5874658__00418", "SRR5874658__00419")
"332","1",897377,897611,235,"*",c("SRR5874657__00364", "SRR5874658__00420")
"333","1",897791,898080,290,"*",c("SRR5874657__00365", "SRR5874658__00421")
"334","1",898237,898985,749,"*",c("SRR5874657__00366", "SRR5874658__00422")
"335","1",899752,900154,403,"*",c("SRR5874657__00367", "SRR5874658__00423")
"336","1",903681,904142,462,"*",c("SRR5874657__00368", "SRR5874658__00425", "SRR5874658__00426", "SRR5874657__00369")
"337","1",907335,907714,380,"*",c("SRR5874657__00370", "SRR5874658__00427")
"338","1",909374,909497,124,"*",c("SRR5874657__00371", "SRR5874658__00428")
